SharePoint Foundation	Unified Logging Service	b8fx	High	ULS Init Completed (PowerShell.exe, onetnative.dll)
SharePoint Foundation	Upgrade	ajyx8	Medium	12/16/2021 04:00:44.31 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyx8 DEBUG Begin registering Microsoft.Office.Project.Server.Database.Extension, Version=16.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyx9	Medium	12/16/2021 04:00:44.31 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyx9 DEBUG Using assembly manifest Microsoft.Office.Project.Server.Database.Extension.UpgradeAssemblyManifest. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyp	Medium	12/16/2021 04:00:44.31 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyp DEBUG Registering [Microsoft.Office.Project.Server.Database.Extension.Upgrade.PDEUpgradeSequence] for [Microsoft.SharePoint.Administration.SPContentDatabase], Phase: 2147483647, Order: 0. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyd	Medium	12/16/2021 04:00:44.31 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyd DEBUG End registering Microsoft.Office.Project.Server.Database.Extension, Version=16.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1u	Medium	12/16/2021 04:00:44.31 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1u DEBUG Reading xml configuration files from C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:44.82 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\dlcupgradeb2b.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:44.90 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\eawfupgrade.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:44.92 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\GbwUpgrade.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:44.93 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\GbwUpgradeB2B.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:45.45 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\IpfsUpgrade.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:45.46 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\MpsUpgrade.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:45.46 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\MpsUpgradeB2B.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:45.48 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\mspsupgrade.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:45.70 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\OsrvTaxonomyUpgrade.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:46.00 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\OsrvUpgrade.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:46.56 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\OsrvUserProfilesUpgrade.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:48.42 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\OSSSearchUpgrade.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:48.48 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\PPSUpgrade.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:48.50 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\pwaupgrade.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:48.51 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\pwsupgrade.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:48.76 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\SecureStoreServiceUpgradeConfiguration.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:48.78 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\SiteUpgraderConfigSPS.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:48.89 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\SPSUpgrade.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:48.90 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\SPSUpgradeB2B.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:48.90 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\TenantAdminUpgrade.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:49.03 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\TranslationUpgrade.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:49.04 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\visprupgrade.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:49.06 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\visprusupgrade.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:49.17 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\Wdsrv_Upgrade.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:49.21 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\WebAnalyticsUpgradeConfiguration.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:49.32 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\workflowwebupgrade.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:49.71 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\WSSSearchUpgrade.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:49.73 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\WssUpgrade.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajy1w	Medium	12/16/2021 04:00:49.75 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPXmlConfigurationManager ajy1w DEBUG Loaded xml configuration file: C:\Program Files\Common Files\Microsoft Shared\Web Server Extensions\16\CONFIG\Upgrade\WssUpgradeB2B.xml. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyx8	Medium	12/16/2021 04:00:49.75 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyx8 DEBUG Begin registering Microsoft.Office.Policy, Version=16.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyya	Medium	12/16/2021 04:00:49.75 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyya DEBUG No assembly manifest found. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyp	Medium	12/16/2021 04:00:51.26 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyp DEBUG Registering [Microsoft.Office.Server.DLC.Upgrade.DlcFarmSequence] for [Microsoft.SharePoint.Administration.SPFarm], Phase: 2147483647, Order: 7. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyp	Medium	12/16/2021 04:00:51.26 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyp DEBUG Registering [Microsoft.Office.Server.DLC.Upgrade.DlcPrejoinedFarmSequence] for [Microsoft.SharePoint.Administration.SPPrejoinedFarm], Phase: 2147483647, Order: 7. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyp	Medium	12/16/2021 04:00:51.26 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyp DEBUG Registering [Microsoft.Office.Server.DLC.Upgrade.DlcSiteSequence] for [Microsoft.SharePoint.SPSite], Phase: 2147483647, Order: 7. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyp	Medium	12/16/2021 04:00:51.26 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyp DEBUG Registering [Microsoft.Office.Server.DLC.Upgrade.DlcIisWebSiteSequence] for [Microsoft.SharePoint.Administration.SPIisWebSite], Phase: 2147483647, Order: 7. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyd	Medium	12/16/2021 04:00:51.26 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyd DEBUG End registering Microsoft.Office.Policy, Version=16.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyx8	Medium	12/16/2021 04:00:51.26 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyx8 DEBUG Begin registering Microsoft.Office.Workflow.EastAsianApproval, Version=16.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyya	Medium	12/16/2021 04:00:51.26 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyya DEBUG No assembly manifest found. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyp	Medium	12/16/2021 04:00:51.36 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyp DEBUG Registering [Microsoft.Office.Workflow.EastAsianApproval.Upgrade.EawfIisWebSiteSequence] for [Microsoft.SharePoint.Administration.SPIisWebSite], Phase: 2147483647, Order: 30. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyd	Medium	12/16/2021 04:00:51.36 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyd DEBUG End registering Microsoft.Office.Workflow.EastAsianApproval, Version=16.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyx8	Medium	12/16/2021 04:00:51.36 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyx8 DEBUG Begin registering Microsoft.Office.InfoPath.Server, Version=16.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyya	Medium	12/16/2021 04:00:51.36 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyya DEBUG No assembly manifest found. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyp	Medium	12/16/2021 04:00:53.09 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyp DEBUG Registering [Microsoft.Office.InfoPath.Server.Upgrade.IisWebSiteSequence] for [Microsoft.SharePoint.Administration.SPIisWebSite], Phase: 2147483647, Order: 15. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyp	Medium	12/16/2021 04:00:53.09 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyp DEBUG Registering [Microsoft.Office.InfoPath.Server.Upgrade.FarmUpgradeSequence] for [Microsoft.SharePoint.Administration.SPFarm], Phase: 2147483647, Order: 15. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyp	Medium	12/16/2021 04:00:53.09 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyp DEBUG Registering [Microsoft.Office.InfoPath.Server.Upgrade.ServiceUpgradeSequence] for [Microsoft.Office.InfoPath.Server.Administration.FormsService], Phase: 2147483647, Order: 15. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyp	Medium	12/16/2021 04:00:53.09 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyp DEBUG Registering [Microsoft.Office.InfoPath.Server.Upgrade.SiteSequence] for [Microsoft.SharePoint.SPSite], Phase: 2147483647, Order: 15. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyd	Medium	12/16/2021 04:00:53.09 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyd DEBUG End registering Microsoft.Office.InfoPath.Server, Version=16.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyx8	Medium	12/16/2021 04:00:53.09 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyx8 DEBUG Begin registering Microsoft.SharePoint.Taxonomy, Version=16.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyx9	Medium	12/16/2021 04:00:53.09 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyx9 DEBUG Using assembly manifest Microsoft.SharePoint.Taxonomy.UpgradeAssemblyManifest. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyp	Medium	12/16/2021 04:00:53.09 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyp DEBUG Registering [Microsoft.SharePoint.Taxonomy.Upgrade.TaxonomyDatabaseSequence] for [Microsoft.SharePoint.Taxonomy.MetadataWebServiceDatabase], Phase: 0, Order: 17. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyp	Medium	12/16/2021 04:00:53.09 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyp DEBUG Registering [Microsoft.SharePoint.Taxonomy.Upgrade.TaxonomyDatabaseSprocsSequence] for [Microsoft.SharePoint.Taxonomy.MetadataWebServiceDatabase], Phase: 1, Order: 17. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	awbky	High	12/16/2021 04:00:53.09 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager awbky INFO Ignoring upgrade sequence: Microsoft.SharePoint.Taxonomy.Upgrade.TaxonomyDatabaseExtensionSequence because related content database extension Microsoft.SharePoint.Taxonomy.TaxonomyDatabaseExtension is not enabled. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	awbky	High	12/16/2021 04:00:53.09 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager awbky INFO Ignoring upgrade sequence: Microsoft.SharePoint.Taxonomy.Upgrade.TaxonomyDatabaseExtensionSprocsSequence because related content database extension Microsoft.SharePoint.Taxonomy.TaxonomyDatabaseExtension is not enabled. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyp	Medium	12/16/2021 04:00:53.09 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyp DEBUG Registering [Microsoft.SharePoint.Taxonomy.Upgrade.TaxonomyFarmSequence] for [Microsoft.SharePoint.Administration.SPFarm], Phase: 0, Order: 17. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyp	Medium	12/16/2021 04:00:53.09 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyp DEBUG Registering [Microsoft.SharePoint.Taxonomy.Upgrade.TaxonomyServerSequence] for [Microsoft.SharePoint.Administration.SPServer], Phase: 2147483647, Order: 17. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyp	Medium	12/16/2021 04:00:53.16 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyp DEBUG Registering [Microsoft.SharePoint.Taxonomy.Upgrade.MetadataWebServiceApplicationSequence] for [Microsoft.SharePoint.Taxonomy.MetadataWebServiceApplication], Phase: 2147483647, Order: 17. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyd	Medium	12/16/2021 04:00:53.16 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyd DEBUG End registering Microsoft.SharePoint.Taxonomy, Version=16.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyx8	Medium	12/16/2021 04:00:53.16 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyx8 DEBUG Begin registering Microsoft.Office.Server, Version=16.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyya	Medium	12/16/2021 04:00:53.16 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyya DEBUG No assembly manifest found. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyp	Medium	12/16/2021 04:00:53.20 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyp DEBUG Registering [Microsoft.Office.Server.Upgrade.FarmSequence] for [Microsoft.SharePoint.Administration.SPFarm], Phase: 0, Order: 3. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyp	Medium	12/16/2021 04:00:53.20 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyp DEBUG Registering [Microsoft.Office.Server.Upgrade.OsrvPrejoinedFarmSequence] for [Microsoft.SharePoint.Administration.SPPrejoinedFarm], Phase: 2147483647, Order: 3. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyp	Medium	12/16/2021 04:00:53.20 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyp DEBUG Registering [Microsoft.Office.Server.Upgrade.IisWebSiteSequence] for [Microsoft.SharePoint.Administration.SPIisWebSite], Phase: 2147483647, Order: 3. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyp	Medium	12/16/2021 04:00:53.20 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyp DEBUG Registering [Microsoft.Office.Server.Upgrade.SessionStateServiceSequence] for [Microsoft.Office.Server.Administration.SessionStateService], Phase: 2147483647, Order: 3. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyp	Medium	12/16/2021 04:00:53.20 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyp DEBUG Registering [Microsoft.Office.Server.Upgrade.StateDatabaseSequence] for [Microsoft.Office.Server.Administration.StateDatabase], Phase: 2147483647, Order: 3. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyp	Medium	12/16/2021 04:00:53.20 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyp DEBUG Registering [Microsoft.Office.Server.Upgrade.SessionStateSharedResourceProvider12Sequence] for [Microsoft.Office.Server.Upgrade.SharedResourceProvider12], Phase: 2147483647, Order: 3. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyp	Medium	12/16/2021 04:00:53.20 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyp DEBUG Registering [Microsoft.Office.Server.Upgrade.StateServiceSequence] for [Microsoft.Office.Server.Administration.StateService], Phase: 2147483647, Order: 3. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyd	Medium	12/16/2021 04:00:53.20 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyd DEBUG End registering Microsoft.Office.Server, Version=16.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyx8	Medium	12/16/2021 04:00:53.20 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyx8 DEBUG Begin registering Microsoft.Office.Server.UserProfiles, Version=16.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyx9	Medium	12/16/2021 04:00:53.20 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyx9 DEBUG Using assembly manifest Microsoft.Office.Server.UserProfiles.UpgradeAssemblyManifest. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyp	Medium	12/16/2021 04:00:53.20 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyp DEBUG Registering [Microsoft.Office.Server.Upgrade.UserProfileFarmSequence] for [Microsoft.SharePoint.Administration.SPFarm], Phase: 0, Order: 17. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	ajyyp	Medium	12/16/2021 04:00:53.20 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager ajyyp DEBUG Registering [Microsoft.Office.Server.Upgrade.ProfileDatabaseSequence] for [Microsoft.Office.Server.Administration.ProfileDatabase], Phase: 0, Order: 17. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	awbky	High	12/16/2021 04:00:53.20 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager awbky INFO Ignoring upgrade sequence: Microsoft.Office.Server.Upgrade.ProfileDatabaseExtensionSequence because related content database extension Microsoft.Office.Server.UserProfiles.ProfileDatabaseExtension is not enabled. 00000000-0000-0000-0000-000000000000
SharePoint Foundation	Upgrade	awbky	High	12/16/2021 04:00:53.20 powershell (0x313C) 0x32B8 SharePoint Foundation Upgrade SPDelegateManager awbky INFO Ignoring upgrade sequence: Microsoft.Office.Server.Upgrade.ProfileDatabaseExtensionSprocsSequence because related content database extension Microsoft.Office.Server.UserProfiles.ProfileDatabaseExtension is not enabled. 00000000-0000-0000-0000-000000000000
